Round,Date,Time,Timezone,Team 1,FT,HT,Team 2,UTC
30,Sat Apr 27 2024,14:30,CEST/+0200,Paksi SE,2-1,1-0,Mezőkövesdi SE,2024-04-27T12:30Z
30,Sun Apr 28 2024,17:45,CEST/+0200,MTK Budapest,1-2,1-2,Ferencvárosi TC,2024-04-28T15:45Z
30,Sun Apr 28 2024,15:15,CEST/+0200,Kisvárda FC,1-0,0-0,Fehérvár FC,2024-04-28T13:15Z
31,Fri May 3 2024,20:00,CEST/+0200,Fehérvár FC,4-0,3-0,MTK Budapest,2024-05-03T18:00Z
31,Sat May 4 2024,15:30,CEST/+0200,Puskás FC,4-2,2-1,Kisvárda FC,2024-05-04T13:30Z
31,Sat May 4 2024,19:15,CEST/+0200,Újpest FC,7-0,4-0,Diósgyöri VTK,2024-05-04T17:15Z
31,Sat May 4 2024,13:00,CEST/+0200,Mezőkövesdi SE,1-2,1-0,Zalaegerszegi TE,2024-05-04T11:00Z
31,Sun May 5 2024,18:30,CEST/+0200,Ferencvárosi TC,5-1,0-0,Debreceni VSC,2024-05-05T16:30Z
31,Sun May 5 2024,16:00,CEST/+0200,Kecskeméti TE,0-0,0-0,Paksi SE,2024-05-05T14:00Z
32,Fri May 10 2024,20:15,CEST/+0200,Újpest FC,0-3,0-1,Kecskeméti TE,2024-05-10T18:15Z
32,Sat May 11 2024,17:30,CEST/+0200,Zalaegerszegi TE,1-1,1-1,Paksi SE,2024-05-11T15:30Z
32,Sat May 11 2024,19:30,CEST/+0200,Diósgyöri VTK,2-0,0-0,Ferencvárosi TC,2024-05-11T17:30Z
32,Sat May 11 2024,15:30,CEST/+0200,MTK Budapest,1-3,1-3,Puskás FC,2024-05-11T13:30Z
32,Sun May 12 2024,19:30,CEST/+0200,Debreceni VSC,1-0,0-0,Fehérvár FC,2024-05-12T17:30Z
32,Sun May 12 2024,14:15,CEST/+0200,Kisvárda FC,4-3,4-0,Mezőkövesdi SE,2024-05-12T12:15Z
33,Fri May 17 2024,20:30,CEST/+0200,Mezőkövesdi SE,1-1,0-1,MTK Budapest,2024-05-17T18:30Z
33,Sat May 18 2024,17:45,CEST/+0200,Paksi SE,2-1,1-0,Kisvárda FC,2024-05-18T15:45Z
33,Sat May 18 2024,17:45,CEST/+0200,Puskás FC,4-1,2-1,Debreceni VSC,2024-05-18T15:45Z
33,Sat May 18 2024,17:45,CEST/+0200,Fehérvár FC,0-0,0-0,Diósgyöri VTK,2024-05-18T15:45Z
33,Sun May 19 2024,20:15,CEST/+0200,Ferencvárosi TC,2-0,1-0,Újpest FC,2024-05-19T18:15Z
33,Sun May 19 2024,17:15,CEST/+0200,Kecskeméti TE,2-1,0-1,Zalaegerszegi TE,2024-05-19T15:15Z
