Stage,Round,Date,Time,Team 1,FT,HT,Team 2
Clausura,12,Sat Mar 30 2019,02:00,Monarcas Morelia,2-3,2-0,Club León
Clausura,12,Sat Mar 30 2019,04:00,Atlas Guadalajara,1-0,0-0,Santos Laguna
Clausura,12,Sun Mar 31 2019,20:00,Pumas UNAM,2-1,2-1,Deportivo Guadalajara
Clausura,12,Sun Mar 31 2019,00:00,Gallos Blancos,1-0,0-0,Club Tijuana
Clausura,12,Sun Mar 31 2019,03:00,CF Pachuca,3-2,2-1,Deportivo Toluca
Clausura,12,Sun Mar 31 2019,05:00,CF Monterrey,2-2,1-0,Cruz Azul
Clausura,12,Sun Mar 31 2019,05:00,Club Necaxa,2-0,1-0,CD Veracruz
Clausura,12,Sun Mar 31 2019,03:00,CF América,3-0,1-0,UANL Tigres
Clausura,12,Mon Apr 1 2019,00:00,Lobos BUAP,0-4,0-3,Puebla FC
Clausura,13,Sat Apr 6 2019,03:00,CD Veracruz,0-1,0-0,Atlas Guadalajara
Clausura,13,Sat Apr 6 2019,05:00,Puebla FC,1-1,0-1,Monarcas Morelia
Clausura,13,Sun Apr 7 2019,19:00,Deportivo Toluca,5-1,1-0,CF Monterrey
Clausura,13,Sun Apr 7 2019,01:06,Cruz Azul,3-0,1-0,Gallos Blancos
Clausura,13,Sun Apr 7 2019,03:00,UANL Tigres,2-0,1-0,Pumas UNAM
Clausura,13,Sun Apr 7 2019,05:00,Deportivo Guadalajara,0-1,0-0,Lobos BUAP
Clausura,13,Sun Apr 7 2019,05:06,Club Tijuana,3-2,1-2,CF América
Clausura,13,Sun Apr 7 2019,03:00,Club León,2-1,2-0,Club Necaxa
Clausura,13,Mon Apr 8 2019,01:06,Santos Laguna,0-0,0-0,CF Pachuca
Clausura,14,Sat Apr 13 2019,04:00,Puebla FC,0-3,0-2,Club León
Clausura,14,Sat Apr 13 2019,04:00,Atlas Guadalajara,1-2,0-1,Club Necaxa
Clausura,14,Sun Apr 14 2019,00:00,Gallos Blancos,0-0,0-0,Deportivo Toluca
